,Year,CO2,t,t_squared,month,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,log_CO2
0,1800-01-31,0.00568,1,1,Jan,1800,1,0,0,0,0,0,0,0,0,0,0,0,-5.170804046249077
1,1800-02-28,0.005674630136986302,2,4,Feb,1800,0,1,0,0,0,0,0,0,0,0,0,0,-5.1717498918379246
2,1800-03-31,0.005668684931506849,3,9,Mar,1800,0,0,1,0,0,0,0,0,0,0,0,0,-5.172798122621947
3,1800-04-30,0.0056629315068493155,4,16,Apr,1800,0,0,0,1,0,0,0,0,0,0,0,0,-5.173813586776285
4,1800-05-31,0.005656986301369863,5,25,May,1800,0,0,0,0,1,0,0,0,0,0,0,0,-5.174863984160225
5,1800-06-30,0.005651232876712329,6,36,Jun,1800,0,0,0,0,0,1,0,0,0,0,0,0,-5.17588154936008
6,1800-07-31,0.005645287671232877,7,49,Jul,1800,0,0,0,0,0,0,1,0,0,0,0,0,-5.176934122318827
7,1800-08-31,0.005639342465753425,8,64,Aug,1800,0,0,0,0,0,0,0,1,0,0,0,0,-5.177987804354895
8,1800-09-30,0.005633589041095891,9,81,Sep,1800,0,0,0,0,0,0,0,0,1,0,0,0,-5.1790085548408875
9,1800-10-31,0.005627643835616439,10,100,Oct,1800,0,0,0,0,0,0,0,0,0,1,0,0,-5.180064426093508
10,1800-11-30,0.005621890410958904,11,121,Nov,1800,0,0,0,0,0,0,0,0,0,0,1,0,-5.18108729958019
11,1800-12-31,0.005615945205479453,12,144,Dec,1800,0,0,0,0,0,0,0,0,0,0,0,1,-5.182145369165298
12,1801-01-31,0.00561,13,169,Jan,1801,1,0,0,0,0,0,0,0,0,0,0,0,-5.183204559447532
13,1801-02-28,0.005605397260273973,14,196,Feb,1801,0,1,0,0,0,0,0,0,0,0,0,0,-5.184025348917154
14,1801-03-31,0.005600301369863014,15,225,Mar,1801,0,0,1,0,0,0,0,0,0,0,0,0,-5.184934866642099
15,1801-04-30,0.005595369863013699,16,256,Apr,1801,0,0,0,1,0,0,0,0,0,0,0,0,-5.185815833413216
16,1801-05-31,0.00559027397260274,17,289,May,1801,0,0,0,0,1,0,0,0,0,0,0,0,-5.186726981817079
17,1801-06-30,0.005585342465753425,18,324,Jun,1801,0,0,0,0,0,1,0,0,0,0,0,0,-5.1876095294951625
18,1801-07-31,0.005580246575342466,19,361,Jul,1801,0,0,0,0,0,0,1,0,0,0,0,0,-5.188522314435754
19,1801-08-31,0.005575150684931507,20,400,Aug,1801,0,0,0,0,0,0,0,1,0,0,0,0,-5.189435933313957
20,1801-09-30,0.005570219178082192,21,441,Sep,1801,0,0,0,0,0,0,0,0,1,0,0,0,-5.190320876071669
21,1801-10-31,0.005565123287671233,22,484,Oct,1801,0,0,0,0,0,0,0,0,0,1,0,0,-5.191236140381208
22,1801-11-30,0.005560191780821918,23,529,Nov,1801,0,0,0,0,0,0,0,0,0,0,1,0,-5.192122678360932
23,1801-12-31,0.005555095890410959,24,576,Dec,1801,0,0,0,0,0,0,0,0,0,0,0,1,-5.193039594039358
24,1802-01-31,0.00555,25,625,Jan,1802,1,0,0,0,0,0,0,0,0,0,0,0,-5.193957351223794
25,1802-02-28,0.005544630136986302,26,676,Feb,1802,0,1,0,0,0,0,0,0,0,0,0,0,-5.1949253624809
26,1802-03-31,0.005538684931506849,27,729,Mar,1802,0,0,1,0,0,0,0,0,0,0,0,0,-5.195998183385644
27,1802-04-30,0.005532931506849315,28,784,Apr,1802,0,0,0,1,0,0,0,0,0,0,0,0,-5.197037494168754
28,1802-05-31,0.005526986301369863,29,841,May,1802,0,0,0,0,1,0,0,0,0,0,0,0,-5.19811258462696
29,1802-06-30,0.005521232876712329,30,900,Jun,1802,0,0,0,0,0,1,0,0,0,0,0,0,-5.199154096400918
30,1802-07-31,0.005515287671232876,31,961,Jul,1802,0,0,0,0,0,0,1,0,0,0,0,0,-5.200231466035431
31,1802-08-31,0.005509342465753425,32,1024,Aug,1802,0,0,0,0,0,0,0,1,0,0,0,0,-5.2013099976472645
32,1802-09-30,0.00550358904109589,33,1089,Sep,1802,0,0,0,0,0,0,0,0,1,0,0,0,-5.202354846637268
33,1802-10-31,0.005497643835616438,34,1156,Oct,1802,0,0,0,0,0,0,0,0,0,1,0,0,-5.203435672054717
34,1802-11-30,0.005491890410958904,35,1225,Nov,1802,0,0,0,0,0,0,0,0,0,0,1,0,-5.204482745580145
35,1802-12-31,0.005485945205479452,36,1296,Dec,1802,0,0,0,0,0,0,0,0,0,0,0,1,-5.20556587458087
36,1803-01-31,0.00548,37,1369,Jan,1803,1,0,0,0,0,0,0,0,0,0,0,0,-5.206650178022213
37,1803-02-28,0.005475397260273972,38,1444,Feb,1803,0,1,0,0,0,0,0,0,0,0,0,0,-5.207490446957696
38,1803-03-31,0.005470301369863014,39,1521,Mar,1803,0,0,1,0,0,0,0,0,0,0,0,0,-5.208421569026981
39,1803-04-30,0.005465369863013698,40,1600,Apr,1803,0,0,0,1,0,0,0,0,0,0,0,0,-5.209323481141673
40,1803-05-31,0.0054602739726027395,41,1681,May,1803,0,0,0,0,1,0,0,0,0,0,0,0,-5.2102563123518335
41,1803-06-30,0.005455342465753425,42,1764,Jun,1803,0,0,0,0,0,1,0,0,0,0,0,0,-5.2111598815112465
42,1803-07-31,0.005450246575342466,43,1849,Jul,1803,0,0,0,0,0,0,1,0,0,0,0,0,-5.212094428148323
43,1803-08-31,0.005445150684931507,44,1936,Aug,1803,0,0,0,0,0,0,0,1,0,0,0,0,-5.213029848979855
44,1803-09-30,0.005440219178082192,45,2025,Sep,1803,0,0,0,0,0,0,0,0,1,0,0,0,-5.213935928837271
45,1803-10-31,0.005435123287671233,46,2116,Oct,1803,0,0,0,0,0,0,0,0,0,1,0,0,-5.214873074642097
46,1803-11-30,0.005430191780821918,47,2209,Nov,1803,0,0,0,0,0,0,0,0,0,0,1,0,-5.215780826908251
47,1803-12-31,0.005425095890410959,48,2304,Dec,1803,0,0,0,0,0,0,0,0,0,0,0,1,-5.216719704060036
48,1804-01-31,0.00542,49,2401,Jan,1804,1,0,0,0,0,0,0,0,0,0,0,0,-5.217659463530582
49,1804-02-29,0.005415245901639345,50,2500,Feb,1804,0,1,0,0,0,0,0,0,0,0,0,0,-5.218536988361839
50,1804-03-31,0.00541016393442623,51,2601,Mar,1804,0,0,1,0,0,0,0,0,0,0,0,0,-5.219475884470789
51,1804-04-30,0.005405245901639344,52,2704,Apr,1804,0,0,0,1,0,0,0,0,0,0,0,0,-5.220385333710421
