CO2,year,month,week,quarter,day_of_week
0.00568,1800,1,5,1,Friday
0.005674166666666667,1800,2,9,1,Friday
0.005668333333333333,1800,3,14,1,Monday
0.0056625,1800,4,18,2,Wednesday
0.005656666666666667,1800,5,22,2,Saturday
0.005650833333333333,1800,6,27,2,Monday
0.005645000000000001,1800,7,31,3,Thursday
0.005639166666666667,1800,8,35,3,Sunday
0.005633333333333334,1800,9,40,3,Tuesday
0.0056275000000000006,1800,10,44,4,Friday
0.005621666666666667,1800,11,48,4,Sunday
0.005615833333333334,1800,12,1,4,Wednesday
0.00561,1801,1,5,1,Saturday
0.005605000000000001,1801,2,9,1,Saturday
0.005600000000000001,1801,3,14,1,Tuesday
0.005595,1801,4,18,2,Thursday
0.00559,1801,5,22,2,Sunday
0.0055850000000000006,1801,6,27,2,Tuesday
0.00558,1801,7,31,3,Friday
0.005575,1801,8,36,3,Monday
0.00557,1801,9,40,3,Wednesday
0.0055650000000000005,1801,10,44,4,Saturday
0.005560000000000001,1801,11,49,4,Monday
0.005555,1801,12,53,4,Thursday
0.00555,1802,1,4,1,Sunday
0.005544166666666667,1802,2,8,1,Sunday
0.0055383333333333335,1802,3,13,1,Wednesday
0.0055325,1802,4,17,2,Friday
0.005526666666666667,1802,5,22,2,Monday
0.005520833333333333,1802,6,26,2,Wednesday
0.005515,1802,7,30,3,Saturday
0.0055091666666666666,1802,8,35,3,Tuesday
0.005503333333333333,1802,9,39,3,Thursday
0.0054975,1802,10,43,4,Sunday
0.005491666666666666,1802,11,48,4,Tuesday
0.005485833333333333,1802,12,52,4,Friday
0.00548,1803,1,5,1,Monday
0.005475,1803,2,9,1,Monday
0.00547,1803,3,13,1,Thursday
0.005464999999999999,1803,4,17,2,Saturday
0.00546,1803,5,22,2,Tuesday
0.005455,1803,6,26,2,Thursday
0.00545,1803,7,30,3,Sunday
0.005445,1803,8,35,3,Wednesday
0.00544,1803,9,39,3,Friday
0.005435000000000001,1803,10,44,4,Monday
0.00543,1803,11,48,4,Wednesday
0.005425,1803,12,52,4,Saturday
0.00542,1804,1,5,1,Tuesday
0.0054150000000000005,1804,2,9,1,Wednesday
0.00541,1804,3,13,1,Saturday
0.005405,1804,4,18,2,Monday
0.0054,1804,5,22,2,Thursday
0.0053950000000000005,1804,6,26,2,Saturday
0.005390000000000001,1804,7,31,3,Tuesday
0.005385,1804,8,35,3,Friday
0.00538,1804,9,39,3,Sunday
0.0053750000000000004,1804,10,44,4,Wednesday
0.00537,1804,11,48,4,Friday
0.005365,1804,12,1,4,Monday
0.00536,1805,1,5,1,Thursday
0.005354166666666667,1805,2,9,1,Thursday
0.005348333333333333,1805,3,13,1,Sunday
0.0053425,1805,4,18,2,Tuesday
0.005336666666666667,1805,5,22,2,Friday
0.005330833333333333,1805,6,26,2,Sunday
0.005325,1805,7,31,3,Wednesday
0.005319166666666667,1805,8,35,3,Saturday
0.005313333333333334,1805,9,40,3,Monday
0.005307500000000001,1805,10,44,4,Thursday
0.005301666666666667,1805,11,48,4,Saturday
0.005295833333333334,1805,12,1,4,Tuesday
0.00529,1806,1,5,1,Friday
0.005285000000000001,1806,2,9,1,Friday
0.00528,1806,3,14,1,Monday
0.005275,1806,4,18,2,Wednesday
0.00527,1806,5,22,2,Saturday
0.005265000000000001,1806,6,27,2,Monday
0.005260000000000001,1806,7,31,3,Thursday
0.005255,1806,8,35,3,Sunday
0.00525,1806,9,40,3,Tuesday
0.0052450000000000005,1806,10,44,4,Friday
0.00524,1806,11,48,4,Sunday
0.005235,1806,12,1,4,Wednesday
0.00523,1807,1,5,1,Saturday
0.0052250000000000005,1807,2,9,1,Saturday
0.005220000000000001,1807,3,14,1,Tuesday
0.005215,1807,4,18,2,Thursday
0.00521,1807,5,22,2,Sunday
0.005205,1807,6,27,2,Tuesday
0.0052,1807,7,31,3,Friday
0.005195,1807,8,36,3,Monday
0.00519,1807,9,40,3,Wednesday
0.005185,1807,10,44,4,Saturday
0.005180000000000001,1807,11,49,4,Monday
0.005175,1807,12,53,4,Thursday
0.00517,1808,1,4,1,Sunday
0.005165,1808,2,9,1,Monday
0.00516,1808,3,13,1,Thursday
0.005155,1808,4,17,2,Saturday
0.00515,1808,5,22,2,Tuesday
0.005145,1808,6,26,2,Thursday
0.0051400000000000005,1808,7,30,3,Sunday
0.005135,1808,8,35,3,Wednesday
0.00513,1808,9,39,3,Friday
0.005125,1808,10,44,4,Monday
0.0051199999999999996,1808,11,48,4,Wednesday
0.005115,1808,12,52,4,Saturday
0.00511,1809,1,5,1,Tuesday
0.005104166666666667,1809,2,9,1,Tuesday
0.005098333333333333,1809,3,13,1,Friday
0.0050925,1809,4,17,2,Sunday
0.005086666666666666,1809,5,22,2,Wednesday
0.005080833333333333,1809,6,26,2,Friday
0.005075,1809,7,31,3,Monday
0.005069166666666667,1809,8,35,3,Thursday
0.005063333333333334,1809,9,39,3,Saturday
0.0050575,1809,10,44,4,Tuesday
0.005051666666666667,1809,11,48,4,Thursday
0.005045833333333334,1809,12,52,4,Sunday
0.00504,1810,1,5,1,Wednesday
0.005034166666666667,1810,2,9,1,Wednesday
0.0050283333333333334,1810,3,13,1,Saturday
0.0050225,1810,4,18,2,Monday
0.005016666666666667,1810,5,22,2,Thursday
0.005010833333333333,1810,6,26,2,Saturday
0.005005,1810,7,31,3,Tuesday
0.0049991666666666665,1810,8,35,3,Friday
0.004993333333333333,1810,9,39,3,Sunday
0.0049875,1810,10,44,4,Wednesday
0.004981666666666666,1810,11,48,4,Friday
0.004975833333333333,1810,12,1,4,Monday
0.00497,1811,1,5,1,Thursday
0.004964166666666666,1811,2,9,1,Thursday
0.004958333333333333,1811,3,13,1,Sunday
0.0049524999999999994,1811,4,18,2,Tuesday
0.004946666666666666,1811,5,22,2,Friday
0.004940833333333333,1811,6,26,2,Sunday
0.004935,1811,7,31,3,Wednesday
0.004929166666666667,1811,8,35,3,Saturday
0.004923333333333333,1811,9,40,3,Monday
0.0049175,1811,10,44,4,Thursday
0.004911666666666667,1811,11,48,4,Saturday
0.004905833333333333,1811,12,1,4,Tuesday
0.0049,1812,1,5,1,Friday
0.0048941666666666665,1812,2,9,1,Saturday
0.004888333333333333,1812,3,14,1,Tuesday
0.0048825,1812,4,18,2,Thursday
0.004876666666666666,1812,5,22,2,Sunday
0.004870833333333333,1812,6,27,2,Tuesday
0.0048649999999999995,1812,7,31,3,Friday
0.004859166666666667,1812,8,36,3,Monday
0.004853333333333334,1812,9,40,3,Wednesday
0.0048475,1812,10,44,4,Saturday
0.004841666666666667,1812,11,49,4,Monday
0.0048358333333333335,1812,12,53,4,Thursday
0.00483,1813,1,4,1,Sunday
0.004823333333333333,1813,2,8,1,Sunday
0.004816666666666667,1813,3,13,1,Wednesday
0.00481,1813,4,17,2,Friday
0.004803333333333333,1813,5,22,2,Monday
0.004796666666666667,1813,6,26,2,Wednesday
0.00479,1813,7,30,3,Saturday
0.004783333333333333,1813,8,35,3,Tuesday
0.004776666666666667,1813,9,39,3,Thursday
0.00477,1813,10,43,4,Sunday
0.004763333333333333,1813,11,48,4,Tuesday
0.004756666666666667,1813,12,52,4,Friday
0.00475,1814,1,5,1,Monday
0.0047425,1814,2,9,1,Monday
0.004735,1814,3,13,1,Thursday
0.0047275,1814,4,17,2,Saturday
0.00472,1814,5,22,2,Tuesday
0.0047125,1814,6,26,2,Thursday
0.004705,1814,7,30,3,Sunday
0.0046975,1814,8,35,3,Wednesday
0.00469,1814,9,39,3,Friday
0.0046825,1814,10,44,4,Monday
0.004675,1814,11,48,4,Wednesday
0.0046675,1814,12,52,4,Saturday
0.00466,1815,1,5,1,Tuesday
0.0046525,1815,2,9,1,Tuesday
0.004645,1815,3,13,1,Friday
0.0046375,1815,4,17,2,Sunday
0.0046300000000000004,1815,5,22,2,Wednesday
0.0046225,1815,6,26,2,Friday
